direction,stop_district,stop_id,stop_lat,stop_lon,stop_name,line,service
1,2807911,par_6_4182,40.3685781194539,-3.7421924070777,Euro-Aguacate,118,emt
1,2807911,par_6_3051,40.370078471751214,-3.74494637901936,Aguacate-Secoya,118,emt
1,2807911,par_6_5059,40.3729219036754,-3.74687967794402,Antonia Rodríguez Sacristán-Centro Salud,118,emt
1,2807911,par_6_2457,40.3729854662505,-3.74540387687756,Antonia Rodríguez Sacristán,118,emt
1,2807911,par_6_2454,40.3739116735594,-3.74216615950852,Plaza de los Navarros,118,emt
1,2807911,par_6_2455,40.3746726101471,-3.7394010606069,Albares de la Ribera-Belzunegui,118,emt
1,2807911,par_6_2451,40.3762515725887,-3.73902954595288,Belzunegui,118,emt
1,2807911,par_6_2449,40.3776563005482,-3.73772472404464,Carcastillo,118,emt
1,2807911,par_6_2447,40.3760895308517,-3.73476262266692,Besolla,118,emt
1,2807911,par_6_2445,40.376792888365294,-3.73323881313048,Abrantes-Camino Viejo Leganés,118,emt
1,2807911,par_6_3041,40.3785908758617,-3.73313236763929,Camino Viejo Leganés-Carcastillo,118,emt
1,2807911,par_6_3039,40.3805233548584,-3.7317031213773695,Camino Viejo Leganés-Carrero Juan Ramón,118,emt
1,2807911,par_6_3037,40.38209432583579,-3.73045250564645,Camino Viejo Leganés-Falcinelo,118,emt
1,2807911,par_6_2470,40.38393649013,-3.72905343274949,Camino Viejo Leganés-Pelícano,118,emt
1,2807911,par_6_3034,40.3860438253496,-3.7277466019699,Avenida de Oporto-Camino Viejo Leganés,118,emt
1,2807911,par_6_3060,40.3884947675424,-3.7269540666913,Camino Viejo Leganés-Valle de Oro,118,emt
1,2807911,par_6_3061,40.3905864511784,-3.72526545189378,Camino Viejo Leganés-Alejandro Sánchez,118,emt
1,2807911,par_6_3062,40.3931236176988,-3.72364740572698,General Ricardos-Camino Viejo Leganés,118,emt
1,2807911,par_6_334,40.3937532733512,-3.72308301558623,General Ricardos-Camino Viejo Leganés,118,emt
1,2807911,par_6_5625,40.3948375940134,-3.7211197645845098,General Ricardos-Comandante Fontanes,118,emt
