stop_id,stop_name,up,down,stop_district,o,p_o
par_5_45,MECO,738,747,28083,856593.1,0.02153881400810916
par_5_48,MOSTOLES,15113,12910,2809202,2320619.0,0.16281216347879596
par_5_49,MOSTOLES-EL SOTO,4150,3824,2809202,2320619.0,0.044707899056243186
par_5_53,PARLA,20748,18827,2810601,3645569.2,0.14228230611721338
par_5_56,PINTO,5989,6069,2811301,1163731.2,0.12865943060307095
par_5_60,POZUELO,5391,5643,2811502,2140835.2,0.06295440062470944
par_5_62,PUENTE ALCOCER,7121,6526,2807917,6231276.0,0.02856958992026673
par_5_69,SAN CRISTOBAL DE LOS ANGELES,2604,2347,2807917,6231276.0,0.010447298434542139
par_5_70,SAN CRISTOBAL INDUSTRIAL,1293,1407,2807917,6231276.0,0.005187541042958136
par_5_92,VILLAVERDE ALTO,23606,24627,2807917,6231276.0,0.09470772920345688
par_5_93,VILLAVERDE BAJO,13250,12293,2807917,6231276.0,0.05315925662737456
par_5_71,SAN FERNANDO DE HENARES,3584,3883,2804903_AD,1650022.1,0.054302302158524086
par_5_72,SAN JOSE DE VALDERAS,4429,4467,2800702,1716058.5,0.06452285863215036
par_5_75,SANTA EUGENIA,4988,4440,2807918,6409269.5,0.01945619543693708
par_5_87,VALLECAS,14833,14873,2807918,6409269.5,0.05785760764155728
par_5_143,SOTO DEL HENARES,3841,3327,2814802,1694294.8,0.0566754987584067
par_5_81,TORREJON DE ARDOZ,11495,10592,2814803,788844.9,0.3642984940480218
par_5_82,TORRELODONES,2111,1461,28152,1481822.8,0.03561492088038195
par_5_86,VALDEMORO,7137,6811,2816101,2293446.0,0.0777977767952679
par_5_90,VICALVARO,11353,12263,2807919,4985441.0,0.05693077101905328
par_5_91,VILLALBA DE GUADARRAMA,7509,6497,28047,3187077.5,0.05890192503947582
par_5_95,ZARZAQUEMADA,10675,10505,2807405,2389781.0,0.11167341275204716
