ds,y,t-168Mod
2020-02-14 00:00:00,308.104,0.0
2020-02-14 01:00:00,165.496,0.0
2020-02-14 02:00:00,155.76,0.0
2020-02-14 03:00:00,126.662,0.0
2020-02-14 04:00:00,123.672,0.0
2020-02-14 05:00:00,230.861,0.0
2020-02-14 06:00:00,393.165,0.0
2020-02-14 07:00:00,955.119,0.0
2020-02-14 08:00:00,1226.425,0.0
2020-02-14 09:00:00,1058.345,0.0
2020-02-14 10:00:00,1006.363,0.0
2020-02-14 11:00:00,1129.488,0.0
2020-02-14 12:00:00,1165.153,0.0
2020-02-14 13:00:00,1394.494,0.0
2020-02-14 14:00:00,1626.435,0.0
2020-02-14 15:00:00,1507.759,0.0
2020-02-14 16:00:00,1438.277,0.0
2020-02-14 17:00:00,1257.834,0.0
2020-02-14 18:00:00,1457.48,0.0
2020-02-14 19:00:00,1119.294,0.0
2020-02-14 20:00:00,1114.191,0.0
2020-02-14 21:00:00,1455.89,0.0
2020-02-14 22:00:00,1018.978,0.0
2020-02-14 23:00:00,566.565,0.0
2020-02-15 00:00:00,673.99,0.0
2020-02-15 01:00:00,480.704,0.0
2020-02-15 02:00:00,300.731,0.0
2020-02-15 03:00:00,201.116,0.0
2020-02-15 04:00:00,257.532,0.0
2020-02-15 05:00:00,225.055,0.0
2020-02-15 06:00:00,261.88,0.0
2020-02-15 07:00:00,240.993,0.0
2020-02-15 08:00:00,381.372,0.0
2020-02-15 09:00:00,484.343,0.0
2020-02-15 10:00:00,664.8,0.0
2020-02-15 11:00:00,901.36,0.0
2020-02-15 12:00:00,1093.755,0.0
2020-02-15 13:00:00,1372.478,0.0
2020-02-15 14:00:00,1308.907,0.0
2020-02-15 15:00:00,1138.672,0.0
2020-02-15 16:00:00,1321.151,0.0
2020-02-15 17:00:00,1259.415,0.0
2020-02-15 18:00:00,1426.384,0.0
2020-02-15 19:00:00,1345.911,0.0
2020-02-15 20:00:00,1163.626,0.0
2020-02-15 21:00:00,1281.991,0.0
2020-02-15 22:00:00,922.841,0.0
2020-02-15 23:00:00,466.788,0.0
2020-02-16 00:00:00,743.124,0.0
2020-02-16 01:00:00,471.928,0.0
2020-02-16 02:00:00,363.069,0.0
2020-02-16 03:00:00,249.051,0.0
2020-02-16 04:00:00,196.927,0.0
2020-02-16 05:00:00,185.965,0.0
2020-02-16 06:00:00,185.79,0.0
2020-02-16 07:00:00,141.606,0.0
2020-02-16 08:00:00,275.913,0.0
2020-02-16 09:00:00,344.606,0.0
2020-02-16 10:00:00,703.023,0.0
2020-02-16 11:00:00,838.348,0.0
2020-02-16 12:00:00,1025.488,0.0
2020-02-16 13:00:00,1049.428,0.0
2020-02-16 14:00:00,889.452,0.0
2020-02-16 15:00:00,758.203,0.0
2020-02-16 16:00:00,947.028,0.0
2020-02-16 17:00:00,860.28,0.0
2020-02-16 18:00:00,869.093,0.0
2020-02-16 19:00:00,820.088,0.0
2020-02-16 20:00:00,504.304,0.0
2020-02-16 21:00:00,638.398,0.0
2020-02-16 22:00:00,1099.233,0.0
2020-02-16 23:00:00,448.09,0.0
2020-02-17 00:00:00,273.404,0.0
2020-02-17 01:00:00,215.82,0.0
2020-02-17 02:00:00,29.018,0.0
2020-02-17 03:00:00,105.635,0.0
2020-02-17 04:00:00,129.55,0.0
2020-02-17 05:00:00,232.68,0.0
2020-02-17 06:00:00,393.314,0.0
2020-02-17 07:00:00,985.392,0.0
2020-02-17 08:00:00,1364.795,0.0
2020-02-17 09:00:00,1180.807,0.0
2020-02-17 10:00:00,899.187,0.0
2020-02-17 11:00:00,910.876,0.0
2020-02-17 12:00:00,898.771,0.0
2020-02-17 13:00:00,1089.972,0.0
2020-02-17 14:00:00,1356.827,0.0
