ds,2807905-2807901
2020-02-20 15:00:00,1476.222
2020-02-20 16:00:00,1454.884
2020-02-20 17:00:00,1895.796
2020-02-20 18:00:00,1778.736
2020-02-20 19:00:00,1564.301
2020-02-20 20:00:00,1527.574
2020-02-20 21:00:00,882.13
2020-02-20 22:00:00,597.886
2020-02-20 23:00:00,187.193
2020-02-21 00:00:00,422.098
2020-02-21 01:00:00,222.713
2020-02-21 02:00:00,189.416
2020-02-21 03:00:00,106.632
2020-02-21 04:00:00,131.037
2020-02-21 05:00:00,158.491
2020-02-21 06:00:00,375.608
2020-02-21 07:00:00,778.919
2020-02-21 08:00:00,1147.566
2020-02-21 09:00:00,1161.662
2020-02-21 10:00:00,1032.077
2020-02-21 11:00:00,1148.397
2020-02-21 12:00:00,1185.838
2020-02-21 13:00:00,1454.691
2020-02-21 14:00:00,1595.41
2020-02-21 15:00:00,2003.293
2020-02-21 16:00:00,1301.182
2020-02-21 17:00:00,1072.698
2020-02-21 18:00:00,1571.411
2020-02-21 19:00:00,1579.66
2020-02-21 20:00:00,1640.667
2020-02-21 21:00:00,1352.12
2020-02-21 22:00:00,874.114
2020-02-21 23:00:00,445.554
2020-02-22 00:00:00,476.705
2020-02-22 01:00:00,540.581
2020-02-22 02:00:00,205.322
2020-02-22 03:00:00,150.296
2020-02-22 04:00:00,135.817
2020-02-22 05:00:00,173.824
2020-02-22 06:00:00,245.111
2020-02-22 07:00:00,216.083
2020-02-22 08:00:00,294.981
2020-02-22 09:00:00,432.799
2020-02-22 10:00:00,622.066
2020-02-22 11:00:00,861.521
2020-02-22 12:00:00,1085.707
2020-02-22 13:00:00,1369.389
2020-02-22 14:00:00,1356.935
2020-02-22 15:00:00,1028.493
2020-02-22 16:00:00,1204.984
2020-02-22 17:00:00,1266.228
2020-02-22 18:00:00,1375.558
2020-02-22 19:00:00,1379.951
2020-02-22 20:00:00,1342.674
2020-02-22 21:00:00,1184.728
2020-02-22 22:00:00,728.316
2020-02-22 23:00:00,481.95
2020-02-23 00:00:00,715.185
2020-02-23 01:00:00,453.067
2020-02-23 02:00:00,237.473
2020-02-23 03:00:00,181.559
2020-02-23 04:00:00,179.655
2020-02-23 05:00:00,140.38
2020-02-23 06:00:00,209.108
2020-02-23 07:00:00,199.635
2020-02-23 08:00:00,271.527
2020-02-23 09:00:00,381.516
2020-02-23 10:00:00,609.312
2020-02-23 11:00:00,860.64
2020-02-23 12:00:00,854.379
2020-02-23 13:00:00,1038.029
2020-02-23 14:00:00,748.368
2020-02-23 15:00:00,856.359
2020-02-23 16:00:00,940.837
2020-02-23 17:00:00,926.283
2020-02-23 18:00:00,791.167
