ds;users
11/11/2020;1220615
12/11/2020;1229811
13/11/2020;1280194
14/11/2020;724403
15/11/2020;514818
16/11/2020;1175885
17/11/2020;1216426
18/11/2020;1228046
19/11/2020;1243608
20/11/2020;1298982
21/11/2020;792885
22/11/2020;559652
23/11/2020;1202594
24/11/2020;1237708
25/11/2020;1260478
26/11/2020;1271802
27/11/2020;1366796
28/11/2020;869949
29/11/2020;603246
30/11/2020;1236880
01/12/2020;1273694
02/12/2020;1294837
03/12/2020;1296319
04/12/2020;1344271
05/12/2020;856006
06/12/2020;680234
07/12/2020;694461
08/12/2020;614932
09/12/2020;1283227
10/12/2020;1287808
11/12/2020;1353133
12/12/2020;877645
13/12/2020;609586
14/12/2020;1248999
15/12/2020;1288953
16/12/2020;1297612
17/12/2020;1311970
18/12/2020;1365400
19/12/2020;837751
20/12/2020;649783
21/12/2020;1237376
22/12/2020;1252561
23/12/2020;1115541
24/12/2020;624284
25/12/2020;326374
26/12/2020;691935
27/12/2020;557787
28/12/2020;986776
29/12/2020;1014723
30/12/2020;1024067
31/12/2020;634458
01/01/2021;313191
02/01/2021;671916
03/01/2021;562478
04/01/2021;1012288
05/01/2021;1001453
06/01/2021;434524
07/01/2021;999343
08/01/2021;1126789
09/01/2021;423189
10/01/2021;578572
11/01/2021;1105650
12/01/2021;1166126
13/01/2021;1260145
14/01/2021;1277080
15/01/2021;1357948
16/01/2021;952719
17/01/2021;664230
18/01/2021;1195304
19/01/2021;1144791
20/01/2021;1189847
21/01/2021;1241392
22/01/2021;1248988
23/01/2021;713110
24/01/2021;510411
25/01/2021;1167951
26/01/2021;1170147
27/01/2021;1177497
28/01/2021;1167049
29/01/2021;1203655
30/01/2021;716812
31/01/2021;513534
01/02/2021;1171109
02/02/2021;1183722
03/02/2021;1198254
04/02/2021;1211576
05/02/2021;1259979
06/02/2021;732184
07/02/2021;590302
08/02/2021;1195870
09/02/2021;1198898
10/02/2021;1235415
11/02/2021;1238172
12/02/2021;1282391
13/02/2021;800285
14/02/2021;624127
15/02/2021;1205142
16/02/2021;1231313
17/02/2021;1252500
18/02/2021;1288811
19/02/2021;1224357
20/02/2021;814528
21/02/2021;567170
22/02/2021;1116105
23/02/2021;1255243
24/02/2021;1273649
25/02/2021;1293693
26/02/2021;1349317
27/02/2021;871450
28/02/2021;632654
01/03/2021;1245338
02/03/2021;1282532
03/03/2021;1307805
04/03/2021;1323446
05/03/2021;1386352
06/03/2021;887017
07/03/2021;626481
08/03/2021;1255507
09/03/2021;1295268
10/03/2021;1321207
11/03/2021;1328486
12/03/2021;1395085
13/03/2021;899079
14/03/2021;641733
15/03/2021;1275224
16/03/2021;1309859
17/03/2021;1336241
18/03/2021;1403046
19/03/2021;744229
20/03/2021;834157
21/03/2021;611133
22/03/2021;1263231
23/03/2021;1304013
24/03/2021;1324952
25/03/2021;1354419
26/03/2021;1267714
27/03/2021;842165
28/03/2021;623670
29/03/2021;1090004
30/03/2021;1114332
31/03/2021;1149558
01/04/2021;681309
02/04/2021;588480
03/04/2021;727579
04/04/2021;627004
05/04/2021;1100890
06/04/2021;1302106
07/04/2021;1330484
08/04/2021;1339385
09/04/2021;1377178
10/04/2021;864823
11/04/2021;639718
12/04/2021;1306582
13/04/2021;1319944
14/04/2021;1340825
15/04/2021;1349945
16/04/2021;1412476
17/04/2021;899842
18/04/2021;643137
19/04/2021;1291799
20/04/2021;1317424
21/04/2021;1345168
22/04/2021;1353120
23/04/2021;1420145
24/04/2021;887925
25/04/2021;568631
26/04/2021;1289696
27/04/2021;1324322
28/04/2021;1343076
29/04/2021;1370727
30/04/2021;1434935
01/05/2021;784418
02/05/2021;700375
03/05/2021;676887
04/05/2021;1207497
05/05/2021;1382951
06/05/2021;1406184
07/05/2021;1454079
08/05/2021;934484
09/05/2021;609964
10/05/2021;1337110
11/05/2021;1366367
12/05/2021;1388196
13/05/2021;1399774
14/05/2021;1448970
15/05/2021;871640
16/05/2021;663462
17/05/2021;1328657
18/05/2021;1371402
19/05/2021;1409111
20/05/2021;1421276
21/05/2021;1464257
22/05/2021;906929
23/05/2021;635428
24/05/2021;1335058
25/05/2021;1378828
26/05/2021;1399485
27/05/2021;1410766
28/05/2021;1467848
29/05/2021;922855
30/05/2021;675796
31/05/2021;1350755
