stop_id,stop_name,up,down,stop_district,o,d,p_o,p_d
par_5_10,ASAMBLEA DE MADRID-ENTREVIAS,13308,12251,2807913,7206182.0,7384559.5,0.04616869238106948,0.04147505345444098
par_5_59,EL POZO,7617,8941,2807913,7206182.0,7384559.5,0.026425227672573354,0.030269239485442564
par_5_12,AZUQUECA,3280,3867,19046_AM,1581548.0,1600953.9,0.05184793632567586,0.06038587463989242
par_5_16,CERCEDILLA,426,349,28038_AM,465784.44,484980.75,0.02286465399565867,0.017990404773797722
par_5_19,CIEMPOZUELOS,4018,3836,28040,806778.06,827606.0,0.12450759963493678,0.11587639528954599
par_5_20,COLLADO MEDIANO,453,350,28046,246019.28,252940.88,0.04603297734412839,0.03459306448591988
par_5_22,COSLADA,11765,11681,2804901,939357.1,967477.4,0.3131130772016021,0.3018416838946751
par_5_25,DELICIAS,5674,5414,2807902,5625181.0,5591300.5,0.025216966351838278,0.02420724838523703
par_5_11,MADRID-ATOCHA CERCANIAS,173414,172769,2807902,5625181.0,5591300.5,0.7707040893439695,0.7724902283466968
par_5_46,MENDEZ ALVARO,29605,30390,2807902,5625181.0,5591300.5,0.13157354403351643,0.13588073114653737
par_5_57,PIRAMIDES,7845,6855,2807902,5625181.0,5591300.5,0.03486554477091493,0.03065029325467304
par_5_26,DOCE DE OCTUBRE,4413,4306,2807912,4552148.5,4692510.0,0.024235808651672942,0.02294081419112586
par_5_52,ORCASITAS,5568,5359,2807912,4552148.5,4692510.0,0.030578967272267152,0.028550818218821057
par_5_103,EL CASAR,6017,6394,2806502,1519267.5,1555616.8,0.09901153022756032,0.10275667191163891
par_5_43,LAS MARGARITAS,9732,8967,2806502,1519267.5,1555616.8,0.16014296363214509,0.14410683094020427
par_5_29,EL ESCORIAL,2707,1813,28054,846367.5,865974.9,0.07995935571722686,0.052339855703088384
par_5_96,LAS ZORRERAS-NAVALQUEJIGO,566,477,28054,846367.5,865974.9,0.016718505850000148,0.0137706073747232
par_5_28,EMBAJADORES,14405,15821,2807901,7923146.0,7913735.0,0.04545227362969204,0.04997956085211345
par_5_122,SOL,42943,44870,2807901,7923146.0,7913735.0,0.13549857594445439,0.14174722807877696
par_5_31,FUENCARRAL,3857,4396,2807908,11365820.0,11161054.0,0.00848376975880315,0.00984674028098063
par_5_145,MIRASIERRA,0,0,2807908,11365820.0,11161054.0,0.0,0.0
par_5_58,PITIS,2597,2488,2807908,11365820.0,11161054.0,0.005712302323985423,0.00557295036830751
par_5_64,RAMON Y CAJAL,7031,7681,2807908,11365820.0,11161054.0,0.015465228201748752,0.017204916309875393
par_5_84,UNIVERSIDAD PONTIFICIA DE COMILLAS,960,754,2807908,11365820.0,11161054.0,0.0021115942360516,0.0016889085923247034
par_5_15,UNIVERSIDAD-CANTOBLANCO,15292,15161,2807908,11365820.0,11161054.0,0.03363593651843862,0.03395960632391887
par_5_32,FUENLABRADA,18112,16223,2805804,1699683.6,1680425.0,0.26640251946888055,0.24135263400627818
par_5_133,FUENTE DE LA MORA,5503,5602,2807916,8495212.0,8377919.0,0.01619441633710848,0.016716561714191794
par_5_33,GALAPAGAR-LA NAVATA,1328,1120,28061,1928273.0,1923935.2,0.01721747906027829,0.014553504334410423
par_5_74,SAN YAGO,197,155,28061,1928273.0,1923935.2,0.002554098926863572,0.002014101046280014
par_5_34,GETAFE-CENTRO,17160,17100,2806503,2903612.2,2899727.5,0.14774700030970045,0.14742764621848087
par_5_35,GETAFE-INDUSTRIAL,1281,1432,2806504,3846922.0,3691944.5,0.008324837363481765,0.009696787153761386
par_5_36,GETAFE-SECTOR 3,1980,1819,2806501,1311524.0,1284866.9,0.03774235164587152,0.035392771721973144
par_5_38,GUADALAJARA,4683,4416,1913005,601943.5,582051.25,0.19449499828472275,0.18967401925517727
par_5_104,HUMANES,3137,3215,28073,1435504.5,1411817.8,0.0546323609574195,0.0569301526347859
par_5_106,LA GARENA,4670,4045,2800503,2072336.9,1999528.6,0.05633736551640524,0.050574419758556845
par_5_77,LA SERNA-FUENLABRADA,9933,9466,2805803,377389.7,398116.8,0.6580068513398369,0.5944235273912226
par_5_44,LAS MATAS,2904,2828,2812701,6046940.0,6002247.0,0.012006072492864159,0.011778922126996773
par_5_68,LAS ROZAS,4684,4221,2812701,6046940.0,6002247.0,0.019365166513972357,0.017580915946977856
par_5_55,PINAR DE LAS ROZAS,3999,4041,2812701,6046940.0,6002247.0,0.01653315561259083,0.016831196716829547
par_5_41,LEGANES,14362,13807,2807401,2679839.5,2685544.8,0.13398190451331135,0.12853071988467143
par_5_105,PARQUE POLVORANCA,3516,3406,2807401,2679839.5,2685544.8,0.03280047181930112,0.03170678872508082
par_5_47,LOS MOLINOS-GUADARRAMA,210,216,28087,201223.7,207559.0,0.0260903656898646,0.026016698866346437
par_5_18,MADRID-CHAMARTIN,41071,46425,2807905,8885507.0,8517433.0,0.11555615228258781,0.13626464687189205
par_5_51,MADRID-NUEVOS MINISTERIOS,64668,68269,2807906,5810399.0,5774554.5,0.2782425096796279,0.29555959684855343
par_5_65,MADRID-RECOLETOS,15689,18173,2807904,7705300.0,7569376.5,0.05090327436958976,0.060021456192593935
par_5_42,MAJADAHONDA,5144,4256,2808002,2677703.5,2652922.8,0.048026228445382395,0.040106708723425886
par_5_45,MECO,738,747,28083,856593.1,855021.4,0.02153881400810916,0.02184155922417729
par_5_48,MOSTOLES,15113,12910,2809202,2320619.0,2330730.8,0.16281216347879596,0.13847588358286345
par_5_49,MOSTOLES-EL SOTO,4150,3824,2809202,2320619.0,2330730.8,0.044707899056243186,0.041017178839726554
par_5_53,PARLA,20748,18827,2810601,3645569.2,3886178.0,0.14228230611721338,0.12111514192093105
par_5_56,PINTO,5989,6069,2811301,1163731.2,1139918.5,0.12865943060307095,0.1331016208614914
par_5_60,POZUELO,5391,5643,2811502,2140835.2,2111378.5,0.06295440062470944,0.06681653715806996
par_5_62,PUENTE ALCOCER,7121,6526,2807917,6231276.0,6275349.0,0.02856958992026673,0.025998554024644686
par_5_69,SAN CRISTOBAL DE LOS ANGELES,2604,2347,2807917,6231276.0,6275349.0,0.010447298434542139,0.009350077581342488
par_5_70,SAN CRISTOBAL INDUSTRIAL,1293,1407,2807917,6231276.0,6275349.0,0.005187541042958136,0.005605265938197222
par_5_92,VILLAVERDE ALTO,23606,24627,2807917,6231276.0,6275349.0,0.09470772920345688,0.0981100812082324
par_5_93,VILLAVERDE BAJO,13250,12293,2807917,6231276.0,6275349.0,0.05315925662737456,0.048973371839558244
par_5_71,SAN FERNANDO DE HENARES,3584,3883,2804903_AD,1650022.1,1598498.1,0.054302302158524086,0.06072887949117863
par_5_72,SAN JOSE DE VALDERAS,4429,4467,2800702,1716058.5,1718161.4,0.06452285863215036,0.06499680508764784
par_5_75,SANTA EUGENIA,4988,4440,2807918,6409269.5,6257476.0,0.01945619543693708,0.017738781579026433
par_5_87,VALLECAS,14833,14873,2807918,6409269.5,6257476.0,0.05785760764155728,0.05942092306866219
par_5_143,SOTO DEL HENARES,3841,3327,2814802,1694294.8,1734561.1,0.0566754987584067,0.047951610814522316
par_5_81,TORREJON DE ARDOZ,11495,10592,2814803,788844.9,788987.1,0.3642984940480218,0.33562017884639117
par_5_82,TORRELODONES,2111,1461,28152,1481822.8,1469766.4,0.03561492088038195,0.024850888291685132
par_5_86,VALDEMORO,7137,6811,2816101,2293446.0,2303796.0,0.0777977767952679,0.07391062403094718
par_5_90,VICALVARO,11353,12263,2807919,4985441.0,4926948.0,0.05693077101905328,0.062224119272214766
par_5_91,VILLALBA DE GUADARRAMA,7509,6497,28047,3187077.5,3226013.5,0.05890192503947582,0.050348518380347755
par_5_95,ZARZAQUEMADA,10675,10505,2807405,2389781.0,2386678.5,0.11167341275204716,0.11003786224244279
