ds,y,t-168Mod,Lunes12_17,Accup
2020-06-26 07:00:00,320.786,0.0,False,False
2020-06-26 08:00:00,364.704,0.0,False,False
2020-06-26 09:00:00,448.954,0.0,False,False
2020-06-26 10:00:00,418.32,0.0,False,False
2020-06-26 11:00:00,660.93,0.0,False,False
2020-06-26 12:00:00,555.235,0.0,False,False
2020-06-26 13:00:00,617.071,0.0,False,False
2020-06-26 14:00:00,852.52,0.0,False,True
2020-06-26 15:00:00,633.242,0.0,False,False
2020-06-26 16:00:00,542.059,0.0,False,False
2020-06-26 17:00:00,548.32,0.0,False,False
2020-06-26 18:00:00,639.338,0.0,False,False
2020-06-26 19:00:00,604.829,0.0,False,True
2020-06-26 20:00:00,690.012,0.0,False,False
2020-06-26 21:00:00,481.615,0.0,False,True
2020-06-26 22:00:00,342.5,0.0,False,False
2020-06-26 23:00:00,180.722,0.0,False,True
2020-06-27 00:00:00,207.365,0.0,False,False
2020-06-27 01:00:00,145.964,0.0,False,False
2020-06-27 02:00:00,122.773,0.0,False,False
2020-06-27 03:00:00,70.687,0.0,False,True
2020-06-27 04:00:00,68.812,0.0,False,False
2020-06-27 05:00:00,57.784,0.0,False,False
2020-06-27 06:00:00,86.145,0.0,False,False
2020-06-27 07:00:00,89.996,0.0,False,False
2020-06-27 08:00:00,206.216,0.0,False,False
2020-06-27 09:00:00,288.742,0.0,False,False
2020-06-27 10:00:00,306.545,0.0,False,False
2020-06-27 11:00:00,405.849,0.0,False,False
2020-06-27 12:00:00,332.329,0.0,False,False
2020-06-27 13:00:00,371.84,0.0,False,False
2020-06-27 14:00:00,382.755,0.0,False,False
2020-06-27 15:00:00,348.211,0.0,False,True
2020-06-27 16:00:00,380.305,0.0,False,False
2020-06-27 17:00:00,375.118,0.0,False,False
2020-06-27 18:00:00,548.212,0.0,False,False
2020-06-27 19:00:00,532.158,0.0,False,False
2020-06-27 20:00:00,529.299,0.0,False,False
2020-06-27 21:00:00,467.371,0.0,False,True
2020-06-27 22:00:00,254.732,0.0,False,False
2020-06-27 23:00:00,144.303,0.0,False,True
2020-06-28 00:00:00,225.953,238.411,False,False
2020-06-28 01:00:00,170.787,154.667,False,True
2020-06-28 02:00:00,106.635,125.5177,False,False
2020-06-28 03:00:00,78.601,44.86789999999999,False,False
2020-06-28 04:00:00,68.524,96.555,False,False
2020-06-28 05:00:00,71.412,49.742,False,False
2020-06-28 06:00:00,60.706,61.999,False,False
2020-06-28 07:00:00,88.645,52.524,False,False
2020-06-28 08:00:00,110.797,131.618,False,False
2020-06-28 09:00:00,205.746,135.314,False,False
2020-06-28 10:00:00,222.619,178.61,False,False
2020-06-28 11:00:00,379.716,283.243,False,False
2020-06-28 12:00:00,367.846,364.969,False,False
2020-06-28 13:00:00,298.076,271.782,False,False
2020-06-28 14:00:00,340.897,376.0075,False,True
2020-06-28 15:00:00,340.276,167.53799999999998,False,False
2020-06-28 16:00:00,255.367,325.739,False,False
2020-06-28 17:00:00,357.594,352.462,False,True
2020-06-28 18:00:00,386.547,327.526,False,False
2020-06-28 19:00:00,398.853,418.191,False,False
2020-06-28 20:00:00,329.593,229.556,False,False
2020-06-28 21:00:00,268.88,270.584,False,True
2020-06-28 22:00:00,217.775,185.493,False,False
2020-06-28 23:00:00,93.718,170.20080000000002,False,True
2020-06-29 00:00:00,138.482,135.78459999999998,False,False
2020-06-29 01:00:00,63.38,87.705,False,False
2020-06-29 02:00:00,63.176,39.7221,False,False
2020-06-29 03:00:00,66.477,30.200799999999997,False,False
2020-06-29 04:00:00,35.944,74.289,False,False
2020-06-29 05:00:00,90.479,85.414,False,False
2020-06-29 06:00:00,171.832,204.078,False,False
2020-06-29 07:00:00,389.261,418.424,False,False
2020-06-29 08:00:00,358.12,444.104,False,False
2020-06-29 09:00:00,429.081,676.2,False,False
2020-06-29 10:00:00,402.922,504.904,False,False
2020-06-29 11:00:00,453.659,546.962,False,True
2020-06-29 12:00:00,400.598,714.319,True,False
2020-06-29 13:00:00,545.223,766.5702,True,False
2020-06-29 14:00:00,592.224,551.9612,True,True
2020-06-29 15:00:00,550.355,642.229,True,False
2020-06-29 16:00:00,493.502,642.206,True,False
2020-06-29 17:00:00,508.828,585.2891000000001,True,True
2020-06-29 18:00:00,618.134,449.8438,False,False
2020-06-29 19:00:00,653.219,625.247,False,False
2020-06-29 20:00:00,520.389,609.2042,False,False
2020-06-29 21:00:00,413.205,498.506,False,False
2020-06-29 22:00:00,244.086,339.725,False,True
2020-06-29 23:00:00,115.722,152.433,False,False
2020-06-30 00:00:00,85.76,92.5876,False,True
2020-06-30 01:00:00,69.684,42.134,False,False
2020-06-30 02:00:00,47.025,40.54,False,True
2020-06-30 03:00:00,38.316,40.648300000000006,False,False
2020-06-30 04:00:00,51.419,43.8886,False,False
2020-06-30 05:00:00,100.473,127.544,False,False
2020-06-30 06:00:00,138.91,234.858,False,False
2020-06-30 07:00:00,409.731,415.593,False,False
2020-06-30 08:00:00,541.918,440.249,False,False
2020-06-30 09:00:00,495.389,518.579,False,False
2020-06-30 10:00:00,488.03,525.1235,False,False
2020-06-30 11:00:00,588.873,339.20459999999997,False,True
2020-06-30 12:00:00,569.809,574.7907000000001,False,False
2020-06-30 13:00:00,700.817,439.3914,False,False
2020-06-30 14:00:00,675.622,727.3794,False,True
2020-06-30 15:00:00,578.638,772.719,False,False
2020-06-30 16:00:00,541.202,551.198,False,False
2020-06-30 17:00:00,608.867,522.398,False,False
2020-06-30 18:00:00,571.475,617.125,False,False
2020-06-30 19:00:00,627.217,384.7655,False,True
2020-06-30 20:00:00,570.976,606.1693,False,False
2020-06-30 21:00:00,364.474,227.1311,False,False
2020-06-30 22:00:00,255.147,259.563,False,False
2020-06-30 23:00:00,151.052,126.913,False,True
2020-07-01 00:00:00,162.726,147.768,False,False
2020-07-01 01:00:00,135.082,88.182,False,False
2020-07-01 02:00:00,93.063,14.531,False,False
2020-07-01 03:00:00,74.227,44.344300000000004,False,False
2020-07-01 04:00:00,35.253,28.874999999999996,False,False
2020-07-01 05:00:00,145.167,170.14,False,False
2020-07-01 06:00:00,197.256,220.61270000000002,False,False
2020-07-01 07:00:00,477.056,276.4181,False,False
2020-07-01 08:00:00,535.925,533.377,False,False
2020-07-01 09:00:00,606.191,471.76,False,False
2020-07-01 10:00:00,626.221,472.11670000000004,False,True
2020-07-01 11:00:00,651.479,320.71689999999995,False,False
2020-07-01 12:00:00,568.706,603.401,False,False
2020-07-01 13:00:00,756.854,705.067,False,False
2020-07-01 14:00:00,865.404,735.702,False,True
